iso3,country,year,magnitude,total_deaths,total_affected,total_damage_kUSD,total_damage_adj_kUSD,pre_event_avg_gdp,gdp_event_year,gdp_drop,recovery_years,gdp_per_capita_event_year,unemployment_event_year,income_group
AFG,Afghanistan,1998.0,6.6,4700.0,116935.0,10000.0,19244.0,,,,,,7.869,
BOL,Bolivia (Plurinational State of),1998.0,6.6,95.0,18050.0,,,,,,,1022.14506519545,2.121,Low
TUR,Türkiye,1998.0,6.3,145.0,1589600.0,550000.0,1058405.0,,,,,4331.02761275037,6.888,Upper-Middle
AZO,Azores Islands,1998.0,6.2,10.0,1100.0,72000.0,138555.0,,,,,,,
TUR,Türkiye,1998.0,5.1,,1016.0,,,,,,,4331.02761275037,6.888,Upper-Middle
AZE,Azerbaijan,1998.0,5.7,1.0,700010.0,,,,,,,561.906807871869,10.0,Low
PNG,Papua New Guinea,1998.0,7.0,2182.0,9867.0,,,,,,,733.479860137662,2.86,Low
ECU,Ecuador,1998.0,7.2,3.0,2040.0,,,,,,,2284.01572847769,4.389,Lower-Middle
CHN,China,1998.0,5.6,3.0,337443.0,70000.0,134706.0,,,,,835.095348597432,3.24,Low
IRN,Iran (Islamic Republic of),1998.0,5.4,5.0,4355.0,,,,,,,1709.19334096046,10.358,Lower-Middle
IDN,Indonesia,1998.0,7.7,33.0,6448.0,200000.0,384875.0,,,,,454.877800792123,5.459,Low
CHN,China,1998.0,4.5,,107084.0,22600.0,43491.0,,,,,835.095348597432,3.24,Low
AFG,Afghanistan,1998.0,6.4,,,,,,,,,,7.869,
PAK,Pakistan,1998.0,6.4,1.0,611.0,,,,,,,424.453697798497,0.62,Low
CHN,China,1998.0,5.4,,2000.0,,,,,,,835.095348597432,3.24,Low
CHN,China,1998.0,5.6,,25028.0,,,,,,,835.095348597432,3.24,Low
CHN,China,1998.0,6.4,3.0,111862.0,,,,,,,835.095348597432,3.24,Low
IDN,Indonesia,1998.0,6.4,1.0,500.0,,,,,,,454.877800792123,5.459,Low
ALB,Albania,1998.0,5.0,,2100.0,,,,,,,831.175344077295,20.042,Low
IRN,Iran (Islamic Republic of),1998.0,5.4,,500.0,,,,,,,1709.19334096046,10.358,Lower-Middle
NIC,Nicaragua,1998.0,4.4,,238.0,,,,,,,949.155373494771,7.203,Low
CHN,China,1998.0,4.7,,3528.0,,,,,,,835.095348597432,3.24,Low
TUR,Türkiye,1998.0,4.5,2.0,690.0,,,,,,,4331.02761275037,6.888,Upper-Middle
COL,Colombia,1999.0,6.2,1186.0,1205933.0,1857366.0,3497734.0,,,,,2241.22911801216,20.06,Lower-Middle
RUS,Russian Federation,1999.0,3.2,,6240.0,900.0,1695.0,,,,,1330.75720214844,13.036,Lower-Middle
AFG,Afghanistan,1999.0,6.0,70.0,91960.0,,,,,,,,7.877,
IRN,Iran (Islamic Republic of),1999.0,6.6,1.0,2690.0,,,,,,,1739.59462001458,11.176,Lower-Middle
IND,India,1999.0,6.6,100.0,477894.0,2000.0,3766.0,,,,,441.927991436397,7.583,Low
IRN,Iran (Islamic Republic of),1999.0,7.0,20.0,4100.0,,,,,,,1739.59462001458,11.176,Lower-Middle
AZE,Azerbaijan,1999.0,5.4,1.0,9168.0,5000.0,9416.0,,,,,573.893528734031,10.9,Low
MEX,Mexico,1999.0,6.5,15.0,16200.0,226800.0,427103.0,,,,,6499.97182950425,2.598,Upper-Middle
BGD,Bangladesh,1999.0,5.2,6.0,15200.0,,,,,,,388.095684268235,3.088,Low
TUR,Türkiye,1999.0,7.6,17127.0,1358953.0,20000000.0,37663384.0,,,,,3973.77763854116,7.687,Lower-Middle
GRC,Greece,1999.0,5.8,143.0,115139.0,4200000.0,7909311.0,,,,,12742.5404388143,12.138,Upper-Middle
TUR,Türkiye,1999.0,5.8,6.0,422.0,,,,,,,3973.77763854116,7.687,Lower-Middle
TWN,Taiwan (Province of China),1999.0,7.7,2264.0,108664.0,14100000.0,26552686.0,,,,,,,
MEX,Mexico,1999.0,7.5,31.0,115215.0,164800.0,310346.0,,,,,6499.97182950425,2.598,Upper-Middle
TUR,Türkiye,1999.0,5.2,,103.0,,,,,,,3973.77763854116,7.687,Lower-Middle
CHN,China,1999.0,5.1,,16003.0,,,,,,,881.146614068925,3.25,Low
PER,Peru,1999.0,6.8,1.0,1550.0,,,,,,,1916.53397367908,5.011,Lower-Middle
MEX,Mexico,1999.0,6.3,,6500.0,,,,,,,6499.97182950425,2.598,Upper-Middle
TUR,Türkiye,1999.0,5.2,1.0,166.0,,,,,,,3973.77763854116,7.687,Lower-Middle
TWN,Taiwan (Province of China),1999.0,5.9,1.0,254.0,800.0,1507.0,,,,,,,
PER,Peru,1999.0,4.4,,6580.0,1100.0,2071.0,,,,,1916.53397367908,5.011,Lower-Middle
TUR,Türkiye,1999.0,7.2,3.0,200.0,,,,,,,3973.77763854116,7.687,Lower-Middle
TUR,Türkiye,1999.0,7.2,845.0,224948.0,1000000.0,1883169.0,,,,,3973.77763854116,7.687,Lower-Middle
CHN,China,1999.0,5.6,,3020004.0,44000.0,82859.0,,,,,881.146614068925,3.25,Low
VUT,Vanuatu,1999.0,7.5,12.0,14100.0,,,,,,,1472.17751741462,8.29,Lower-Middle
CHN,China,1999.0,5.0,,800.0,,,,,,,881.146614068925,3.25,Low
DZA,Algeria,1999.0,5.6,22.0,15175.0,60929.0,114740.0,,,,,1596.11822239025,28.575,Lower-Middle
IDN,Indonesia,1999.0,6.5,5.0,16920.0,3900.0,7344.0,,,,,657.268934667018,6.358,Low
IRN,Iran (Islamic Republic of),1999.0,5.3,,250.0,,,,,,,1739.59462001458,11.176,Lower-Middle
RUS,Russian Federation,1999.0,6.5,1.0,5020.0,,,,,,,1330.75720214844,13.036,Lower-Middle
ESP,Spain,1999.0,6.2,,20.0,44004.0,82867.0,,,,,15707.9473068138,15.475,High
GTM,Guatemala,1999.0,6.7,2.0,280.0,,,,,,,1603.64776144934,2.113,Lower-Middle
PHL,Philippines,1999.0,7.3,6.0,190.0,1794.0,3378.0,,,,,1101.43515975318,3.751,Lower-Middle
IRN,Iran (Islamic Republic of),2000.0,5.3,1.0,2015.0,,,,,,,1650.01385833785,11.698,Lower-Middle
IRN,Iran (Islamic Republic of),2000.0,4.9,,1000.0,,,,,,,1650.01385833785,11.698,Lower-Middle
